domain,phylum,class,order,family,genus,species,strain,misc,genome,JSONCreated
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,dick,ATCC 19718,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_9_collection/nitrosomonas_europaea_atcc_19718/pep/,Waleed
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus oleovorans,Hxd3,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_16_collection/desulfococcus_oleovorans_hxd3/pep/,Waleed
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,K12 MG1655.,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_0_collection/escherichia_coli_str_k_12_substr_mg1655/pep/,Waleed
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,RB,(multiple strains),ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_66_collection/pseudomonas_aeruginosa_rb/pep/,Waleed
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida KT2440,KT2440,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_13_collection/pseudomonas_putida_kt2440/pep/,Waleed
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida F1,F1,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_20_collection/pseudomonas_putida_f1/pep/,Waleed
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Methylocystis parvus,null,null,not on Ensembl (needs to be searched for),null
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Methylocystis sp. SC2,"sp, SC2",null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_4_collection/methylocystis_sp_sc2/pep/,Waleed
Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Nautilia,Nautilia profundicola,AmH,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_9_collection/nautilia_profundicola_amh/pep/,Waleed
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,Sulfurimonas autotrophica,DSM 16294,null,ftp://ftp.ensemblgenomes.org/pub/bacteria/release-26/fasta/bacteria_10_collection/sulfurimonas_autotrophica_dsm_16294/pep/,Waleed
